feature,fscore
min_visitors_genre_weekend_weekday,0.000148252
min_visitors_genre_last_15_days_of_month,0.00015051
air_genre_name9,0.000187385
air_area_name9,0.000190018
air_area_name8,0.000203564
air_area_name7,0.000239687
min_visitors_genre_last_ten_days_of_month,0.000256243
air_genre_name8,0.000260005
air_genre_name6,0.000270917
air_genre_name4,0.000304406
air_genre_name7,0.000321338
min_visitors_genre_holiday_weekend_weekday,0.000329616
air_genre_name5,0.000353698
air_genre_name3,0.000446637
min_visitors_genre_dow,0.000578333
air_area_name6,0.000823288
min_visitors_area_mid_ten_days_of_month,0.00099374
min_visitors_area_first_ten_days_of_month,0.001365499
air_genre_name2,0.001827563
min_visitors_area_weekend_weekday,0.002107135
air_area_name_fu,0.002538345
min_visitors_genre_area_first_15_days_of_month,0.002685468
min_visitors_genre_area_last_15_days_of_month,0.003111787
min_visitors_area_holiday,0.003283744
min_visitors_genre_holiday_dow,0.00336088
air_area_name5,0.003599438
min_visitors_area_holiday_weekend_weekday,0.004168741
min_visitors_genre_area_mid_ten_days_of_month,0.004259423
min_visitors_genre_area_first_ten_days_of_month,0.004539371
min_visitors_area_genre_weekend_weekday,0.004855065
air_area_name3,0.004984127
holiday_flg,0.005086097
air_area_name1,0.005655776
is_weekend,0.005931585
cluster,0.006887321
min_visitors_area_genre_holiday_flg,0.007252307
air_area_name0,0.00734186
is_first_last_half_month,0.007397549
min_visitors_area_dow,0.007552574
median_visitors_genre_last_ten_days_of_month,0.008021788
air_genre_name1,0.008817608
min_visitors_area_genre_holiday_weekend_weekday,0.009827904
max_visitors_genre_first_ten_days_of_month,0.009896762
air_genre_name0,0.010006634
max_visitors_genre_mid_ten_days_of_month,0.010659093
num_of_areas_in_genre,0.011290481
num_of_stores_in_genre,0.011356329
genre_size,0.011941435
air_genre_name,0.012325611
min_visitors_store_last_15_days_of_month,0.012977318
num_of_stores_in_area_genre,0.013681327
num_of_genres_in_area,0.014331528
min_visitors_store_mid_ten_days_of_month,0.014929804
var_max_long,0.015312099
min_visitors_store_first_15_days_of_month,0.015607098
min_visitors_area_genre_dow,0.015782441
median_visitors_area_first_ten_days_of_month,0.016293798
air_area_name2,0.016525206
num_of_stores_in_area,0.016610621
air_area_name4,0.016646743
lon_minus_lat,0.01676414
max_visitors_area_last_ten_days_of_month,0.016889816
max_visitors_genre_weekend_weekday,0.017313877
var_max_lat,0.017896726
median_visitors_genre_area_last_ten_days_of_month,0.018490862
min_visitors_store_weekend_weekday,0.01851231
area2,0.019101932
season,0.020090027
longitude,0.020153241
median_visitors_area_weekend_weekday,0.021229762
latitude,0.022080517
day_of_week,0.024772382
max_visitors_area_genre_holiday_flg,0.030507552
min_visitors_store_dow,0.033891762
median_visitors_store_last_ten_days_of_month,0.035297146
max_visitors_genre_dow,0.035792322
max_visitors_store_last_15_days_of_month,0.036331523
air_store_id2,0.038282128
store_size,0.039108802
max_visitors_area_genre_dow,0.046458188
date_int,0.092344064
